date,code,open,high,low,close,preclose,volume,amount
2016-03-30,sh.000300,3161.289,3216.676,3161.289,3216.275,3135.41,11780251200,140721774451.0
2016-03-31,sh.000300,3229.199,3241.927,3208.665,3218.088,3216.275,12155207400,147267617416.0
2016-04-01,sh.000300,3213.674,3222.612,3165.855,3221.895,3218.088,11812213900,127050098456.0
2016-04-05,sh.000300,3211.305,3271.93,3205.207,3264.486,3221.895,14604777200,159296543667.0
2016-04-06,sh.000300,3250.521,3267.64,3236.196,3257.528,3264.486,12019630500,137206268587.0
2016-04-07,sh.000300,3266.288,3270.82,3208.644,3209.29,3257.528,11240946700,128273067720.0
2016-04-08,sh.000300,3189.846,3197.774,3163.305,3185.726,3209.29,10100562500,113920716519.0
2016-04-11,sh.000300,3213.507,3251.572,3213.507,3230.096,3185.726,12521270900,142759491340.0
2016-04-12,sh.000300,3227.367,3232.264,3198.903,3218.45,3230.096,9286943700,99086557951.0
2016-04-13,sh.000300,3237.857,3296.523,3237.857,3261.383,3218.45,19561386600,200159601290.0
2016-04-14,sh.000300,3277.098,3286.072,3252.05,3275.832,3261.383,11315732700,117989443450.0
2016-04-15,sh.000300,3279.857,3282.985,3261.73,3272.205,3275.832,9980752900,107963982334.0
2016-04-18,sh.000300,3252.671,3252.671,3221.662,3228.453,3272.205,9709006900,103956150095.0
2016-04-19,sh.000300,3243.971,3250.725,3221.577,3238.303,3228.453,8087144000,90976236261.0
2016-04-20,sh.000300,3244.142,3248.422,3107.369,3181.026,3238.303,16220785800,172324694469.0
2016-04-21,sh.000300,3160.796,3198.557,3150.939,3160.603,3181.026,10475265100,110324379038.0
2016-04-22,sh.000300,3142.561,3175.38,3137.993,3174.901,3160.603,7707849200,82442921903.0
2016-04-25,sh.000300,3164.738,3172.269,3137.113,3162.033,3174.901,6751935100,74734848036.0
2016-04-26,sh.000300,3159.771,3181.095,3150.404,3179.16,3162.033,5902073400,68871554173.0
2016-04-27,sh.000300,3181.93,3188.826,3162.691,3165.916,3179.161,6000414700,70620405995.0
2016-04-28,sh.000300,3169.333,3174.766,3135.643,3160.581,3165.916,6987066000,78876767222.0
2016-04-29,sh.000300,3153.537,3171.289,3149.396,3156.745,3160.581,5802977600,70807704222.0
2016-05-03,sh.000300,3159.823,3218.485,3151.405,3213.54,3156.745,9816483500,115733867591.0
2016-05-04,sh.000300,3203.465,3222.882,3198.292,3209.461,3213.54,9086240800,97797134813.0
2016-05-05,sh.000300,3204.169,3217.282,3196.566,3213.92,3209.461,7473368100,83946496908.0
2016-05-06,sh.000300,3213.136,3216.893,3130.147,3130.354,3213.92,10868024000,119265216104.0
2016-05-09,sh.000300,3115.43,3115.43,3055.006,3065.615,3130.354,9923047700,100409213488.0
2016-05-10,sh.000300,3055.212,3084.725,3055.183,3069.112,3065.615,6884993500,70650764147.0
2016-05-11,sh.000300,3080.636,3102.877,3063.088,3082.809,3069.112,8179425800,87323408342.0
2016-05-12,sh.000300,3059.383,3095.349,3035.023,3090.137,3082.809,7876572600,81418792606.0
2016-05-13,sh.000300,3081.68,3103.095,3064.691,3074.935,3090.137,6262975500,65850995649.0
2016-05-16,sh.000300,3064.526,3095.555,3053.662,3095.309,3074.935,5946185600,64405200020.0
2016-05-17,sh.000300,3095.523,3105.201,3073.459,3086.025,3095.309,6527812500,75389385458.0
2016-05-18,sh.000300,3071.529,3072.612,3039.462,3068.036,3086.025,8271536900,88458847115.0
2016-05-19,sh.000300,3060.343,3086.977,3058.145,3062.5,3068.036,6044416600,68679060392.0
2016-05-20,sh.000300,3047.778,3078.531,3041.517,3078.218,3062.5,5608084200,65124251092.0
2016-05-23,sh.000300,3078.515,3098.478,3076.504,3087.222,3078.218,5969721600,70337514484.0
2016-05-24,sh.000300,3083.244,3083.257,3052.591,3063.556,3087.223,5873438500,61106015446.0
2016-05-25,sh.000300,3079.749,3089.102,3054.87,3059.226,3063.556,5665280300,63316562530.0
2016-05-26,sh.000300,3056.6,3072.524,3027.444,3064.211,3059.226,6039298100,65985183919.0
2016-05-27,sh.000300,3059.732,3073.756,3052.179,3062.499,3064.211,6046875000,59371777079.0
2016-05-30,sh.000300,3056.314,3075.261,3037.665,3066.709,3062.499,6309857900,63496565009.0
2016-05-31,sh.000300,3068.596,3170.926,3068.596,3169.56,3066.71,13886311100,151398175957.0
2016-06-01,sh.000300,3172.962,3181.792,3159.817,3160.547,3169.56,11314848200,131700821152.0
2016-06-02,sh.000300,3158.026,3168.824,3151.065,3167.1,3160.547,8600342700,97093625345.0
2016-06-03,sh.000300,3172.946,3201.749,3162.088,3189.325,3167.1,10149178300,136332027087.0
2016-06-06,sh.000300,3192.779,3197.22,3168.554,3178.788,3189.326,7669375100,101176231366.0
2016-06-07,sh.000300,3182.438,3186.617,3168.179,3177.054,3178.788,6892831400,88711618425.0
2016-06-08,sh.000300,3171.813,3174.972,3148.352,3163.986,3177.054,7629177500,97682790861.0
2016-06-13,sh.000300,3134.045,3145.606,3065.767,3066.341,3163.986,9297594700,114091320004.0
2016-06-14,sh.000300,3058.443,3078.75,3055.655,3075.983,3066.341,6627945700,78622305350.0
2016-06-15,sh.000300,3043.958,3128.673,3042.233,3116.368,3075.983,8739325700,106170177872.0
2016-06-16,sh.000300,3104.362,3112.476,3089.478,3094.675,3116.368,8297470300,93496238871.0
2016-06-17,sh.000300,3096.09,3131.049,3096.09,3110.357,3094.675,8540298500,97953389320.0
2016-06-20,sh.000300,3114.906,3118.725,3089.713,3112.674,3110.357,6358714100,74647802462.0
2016-06-21,sh.000300,3124.898,3155.493,3097.94,3106.317,3112.674,8796534500,107233643632.0
2016-06-22,sh.000300,3100.45,3134.061,3096.992,3133.961,3106.317,6648711300,81348715848.0
2016-06-23,sh.000300,3129.721,3129.721,3102.481,3117.317,3133.961,6775173800,81732552159.0
2016-06-24,sh.000300,3110.646,3130.539,3033.965,3077.156,3117.317,10479220800,118967441702.0
2016-06-27,sh.000300,3065.128,3120.64,3064.966,3120.544,3077.155,8326725900,104066083791.0
2016-06-28,sh.000300,3107.398,3139.43,3099.701,3136.401,3120.544,9202463700,117197791504.0
2016-06-29,sh.000300,3142.484,3158.076,3139.133,3151.39,3136.401,10372366800,117958861189.0
2016-06-30,sh.000300,3152.833,3163.72,3148.199,3153.921,3151.39,7969261700,100627912925.0
2016-07-01,sh.000300,3156.932,3170.258,3148.295,3154.2,3153.921,7174628300,91215027688.0
